Rk,Coach,Yrs,From,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%.1,AvRk,BstRk,Chmp,SBwl,Conf
95,Herm Edwards,8,2001,2008,128,54,74,0,0.422,-20,4.0,6.0,2.0,4.0,0.333,2.9,1,0.0,0.0,0.0
96,Ron Meyer,9,1982,1991,104,54,50,0,0.519,4,2.0,2.0,0.0,2.0,0.0,2.8,1,0.0,0.0,0.0
97,Mike Vrabel,6,2018,2023,99,54,45,0,0.545,9,3.0,5.0,2.0,3.0,0.4,2.2,1,0.0,0.0,0.0
98,Jim Lee Howell,7,1954,1960,84,53,27,4,0.663,26,3.0,4.0,2.0,2.0,0.5,2.0,1,1.0,,
99,Mike Martz,6,2000,2005,85,53,32,0,0.624,21,4.0,7.0,3.0,4.0,0.429,1.7,1,,,1.0
100,Chuck Pagano,6,2012,2017,96,53,43,0,0.552,10,3.0,6.0,3.0,3.0,0.5,2.0,1,0.0,0.0,0.0
101,Joe Walton,7,1983,1989,111,53,57,1,0.482,-4,2.0,3.0,1.0,2.0,0.333,3.7,2,0.0,0.0,0.0
102,Jerry Burns,6,1986,1991,95,52,43,0,0.547,9,3.0,6.0,3.0,3.0,0.5,2.5,1,,,
103,Mike Holovak,9,1961,1976,108,52,47,9,0.525,5,1.0,2.0,1.0,1.0,0.5,2.8,1,0.0,0.0,0.0
104,Bill O'Brien,7,2014,2020,100,52,48,0,0.52,4,4.0,6.0,2.0,4.0,0.333,1.7,1,0.0,0.0,0.0
105,Bart Starr+,9,1975,1983,131,52,76,3,0.408,-24,1.0,2.0,1.0,1.0,0.5,3.2,1,0.0,0.0,0.0
106,Roy Andrews,8,1924,1931,82,51,27,4,0.654,24,0.0,0.0,0.0,0.0,,5.9,2,0.0,0.0,0.0
107,Monte Clark,8,1976,1984,119,51,67,1,0.433,-16,2.0,2.0,0.0,2.0,0.0,2.9,1,0.0,0.0,0.0
108,Leeman Bennett,8,1977,1986,119,50,69,0,0.42,-19,3.0,4.0,1.0,3.0,0.25,2.6,1,0.0,0.0,0.0
109,Raymond Berry+,6,1984,1989,87,48,39,0,0.552,9,2.0,5.0,3.0,2.0,0.6,2.5,1,0.0,0.0,1.0
110,Dom Capers,8,1995,2005,128,48,80,0,0.375,-32,1.0,2.0,1.0,1.0,0.5,3.3,1,0.0,0.0,0.0
111,Ken Whisenhunt,8,2007,2015,119,48,71,0,0.403,-23,2.0,6.0,4.0,2.0,0.667,2.8,1,0.0,0.0,1.0
112,Bruce Coslet,9,1990,2000,124,47,77,0,0.379,-30,1.0,1.0,0.0,1.0,0.0,3.9,2,0.0,0.0,0.0
113,Jim Haslett,7,2000,2008,108,47,61,0,0.435,-14,1.0,2.0,1.0,1.0,0.5,2.7,1,0.0,0.0,0.0
114,Sam Rutigliano,7,1978,1984,97,47,50,0,0.485,-3,2.0,2.0,0.0,2.0,0.0,2.7,1,,,
115,Chuck Fairbanks,6,1973,1978,85,46,39,0,0.541,7,2.0,2.0,0.0,2.0,0.0,2.8,1,0.0,0.0,0.0
116,Nick Skorich,7,1961,1974,98,45,48,5,0.484,-3,2.0,2.0,0.0,2.0,0.0,3.7,1,0.0,0.0,0.0
117,Jim Harbaugh,4,2011,2014,64,44,19,1,0.695,25,3.0,8.0,5.0,3.0,0.625,1.8,1,,,1.0
118,Ray Malavasi,6,1966,1982,85,44,41,0,0.518,3,3.0,6.0,3.0,3.0,0.5,2.5,1,0.0,0.0,1.0
